distance,BB8401,E9101,BB8402,E9102
1,64.057,57.023,56.858,63.811
2,64.284,56.74,56.643,64.187
3,63.905,56.933,56.89,64.128
4,64.194,56.724,56.545,63.759
5,64.165,56.506,57.126,64.221
6,63.888,56.912,57.07,63.643
7,63.838,56.922,56.49,63.854
8,63.605,56.977,56.811,64.055
9,63.997,56.686,57.014,63.772
10,63.924,56.721,56.806,63.748
11,63.723,56.628,56.701,64.109
12,64.195,57.1,56.724,63.77
13,63.768,57.037,57.008,64.103
14,63.858,56.749,56.297,63.941
15,63.927,57.179,56.881,63.986
16,63.991,56.634,57.117,63.709
17,63.879,56.797,56.825,63.694
18,64.013,56.639,56.867,63.972
19,64.076,56.729,56.538,64.035
20,63.846,57.087,57.038,64.12
21,64.142,57.001,56.734,63.947
22,63.915,56.768,57.02,63.912
23,64.168,56.782,57.042,64.079
24,64.057,56.689,57.209,63.842
25,63.952,56.55,56.859,64.195
26,64.244,56.586,56.97,64.203
27,64.545,56.831,56.847,63.793
28,63.754,56.37,56.854,64.033
29,63.708,56.742,57.0,64.171
30,64.182,57.021,56.666,64.227
31,63.995,56.844,56.848,63.595
32,63.842,56.834,56.768,64.273
33,63.799,57.481,57.194,64.168
34,63.803,57.006,56.832,63.844
35,64.347,57.11,56.629,64.112
36,63.991,57.107,56.675,64.155
37,63.926,56.534,56.78,64.397
38,64.251,57.051,56.698,63.805
39,64.185,56.982,57.095,64.025
40,63.837,57.128,56.725,64.105
41,64.118,56.606,56.816,63.879
42,63.967,56.918,56.645,63.866
43,64.122,57.219,57.076,64.206
44,63.921,57.106,57.071,64.267
45,64.01,57.306,56.62,63.894
46,63.863,56.572,56.999,64.159
47,64.04,57.024,56.882,63.953
48,64.242,56.812,56.992,63.699
49,63.859,57.025,57.069,64.021
50,63.686,56.859,56.972,64.199
51,63.846,56.981,56.901,63.66
52,63.665,56.638,56.924,64.161
53,64.255,56.897,56.69,63.719
54,64.126,56.916,57.021,63.824
55,63.923,56.909,57.082,64.025
56,63.753,56.893,56.986,64.139
57,63.897,56.642,56.862,63.973
58,63.765,56.732,56.87,64.034
59,64.034,56.97,56.968,63.893
60,63.997,56.637,56.639,64.162
61,64.26,56.975,56.572,64.226
62,63.941,56.642,56.797,64.038
63,63.961,56.796,56.927,64.029
64,64.274,56.711,56.702,64.039
65,63.867,57.131,56.976,64.084
66,63.645,56.909,57.003,63.97
67,64.179,56.78,56.952,64.173
68,63.879,57.315,56.725,64.112
69,64.115,57.31,56.919,63.849
70,64.102,57.04,57.028,63.962
71,63.934,56.61,56.982,64.114
72,63.897,56.901,56.737,63.832
73,64.124,56.587,56.94,64.174
74,63.857,56.721,56.933,64.192
75,64.234,56.701,56.708,64.06
76,63.958,56.775,56.75,63.704
77,63.728,57.095,57.009,63.936
78,64.034,56.819,57.18,63.947
79,63.915,56.974,57.22,64.004
80,64.165,56.739,56.59,63.97
81,63.871,56.949,56.899,63.69
82,63.929,56.935,56.705,63.743
83,64.026,57.023,56.973,63.881
84,64.064,56.626,57.065,63.666
85,64.032,57.05,56.899,64.108
86,63.947,56.662,57.044,63.983
87,64.128,56.79,56.883,63.532
88,63.866,57.223,56.907,63.831
89,64.061,56.805,57.083,64.15
90,64.035,57.28,57.101,63.998
91,64.251,57.044,56.947,64.398
92,63.834,57.133,56.885,63.961
93,63.864,57.005,57.0,64.045
94,63.841,57.032,56.762,63.875
95,64.261,57.102,57.173,63.865
96,63.305,57.033,56.848,63.846
97,63.833,56.918,56.588,64.126
98,64.07,57.2,56.911,63.821
99,63.704,56.868,57.033,63.891
100,64.187,56.605,56.902,63.734
101,63.901,56.863,57.009,63.646
102,63.92,56.721,56.789,63.803
103,64.164,57.027,56.735,63.872
104,64.047,56.81,56.99,64.168
105,63.726,57.046,57.037,63.92
106,63.922,57.078,56.578,63.836
107,64.06,57.178,56.859,64.118
108,64.059,56.849,56.909,64.088
109,63.949,57.11,56.773,63.981
110,64.015,57.573,56.881,63.854
111,63.841,57.009,56.646,64.201
112,64.232,57.062,56.769,63.828
113,64.013,56.808,56.698,63.852
114,63.8,57.056,56.806,63.446
115,64.152,57.086,57.072,64.075
116,64.242,56.845,56.643,63.831
117,63.888,56.832,56.87,64.116
118,63.729,56.806,56.864,64.049
119,63.927,57.015,56.837,63.898
120,63.733,57.159,57.087,64.087
121,64.011,56.662,56.728,64.119
122,64.045,56.494,56.766,63.999
123,63.868,57.046,56.88,64.309
124,64.101,56.814,56.914,63.918
125,64.122,56.373,56.792,63.775
126,64.182,56.78,56.846,63.896
127,64.012,57.332,57.157,64.005
128,64.472,56.657,56.742,64.14
129,63.952,56.678,56.966,63.83
130,63.898,56.924,56.787,64.058
131,64.071,56.925,56.862,63.635
132,64.329,56.801,56.726,64.167
133,64.365,57.128,56.511,63.948
134,63.931,56.749,56.793,63.933
135,63.888,57.112,56.527,64.188
136,64.047,56.651,57.302,63.978
137,63.944,56.942,57.067,63.897
138,64.142,56.924,56.665,64.042
139,64.482,57.024,56.766,63.982
140,64.018,56.888,56.861,64.157
141,63.838,56.917,57.211,63.798
142,64.22,56.771,56.652,63.514
143,64.2,57.091,56.754,63.844
144,63.93,56.721,56.948,64.149
145,63.912,56.803,57.235,63.865
146,63.826,56.829,56.988,64.102
147,64.057,56.977,57.107,63.758
148,64.02,57.168,57.02,64.161
149,63.834,56.945,57.283,64.11
150,64.197,56.685,56.784,64.008
151,64.143,56.919,57.104,64.104
152,64.107,57.095,56.762,64.143
153,63.996,56.611,56.708,63.659
154,63.889,56.825,56.764,64.219
155,64.146,56.939,56.995,63.786
156,63.96,56.774,57.033,63.931
157,64.147,57.061,56.985,63.989
158,64.065,56.676,57.219,63.981
159,64.0,57.12,56.912,64.106
160,64.134,56.948,56.907,63.862
161,63.677,57.022,56.954,64.001
162,63.888,56.794,56.934,63.932
163,63.979,57.171,56.889,64.023
164,64.169,57.017,56.699,64.002
165,64.099,56.898,57.087,64.09
166,63.814,56.776,56.433,64.004
167,64.241,56.94,56.599,63.949
168,64.041,56.747,56.809,64.117
169,63.947,56.902,56.919,63.968
170,64.096,57.142,57.191,64.026
171,64.342,56.734,56.835,63.998
172,64.041,56.96,56.868,63.979
173,64.088,57.084,56.893,64.14
174,64.008,57.056,56.807,64.313
175,64.236,56.786,57.069,63.635
176,63.937,56.948,56.615,63.82
177,64.233,57.054,56.986,63.839
178,63.943,56.869,57.165,63.711
179,64.053,56.377,56.874,63.939
180,63.756,56.87,56.689,64.188
181,64.015,56.914,56.757,64.307
182,64.028,56.837,56.675,63.883
183,63.899,56.868,56.715,63.962
184,64.044,56.951,56.983,63.931
185,63.951,56.829,56.837,63.876
186,64.01,56.61,56.77,63.893
187,64.069,56.736,56.915,64.01
188,63.907,56.987,57.1,64.154
189,64.077,56.715,56.82,64.111
190,64.061,56.943,56.767,63.825
191,64.345,56.834,56.987,64.301
192,63.863,56.821,57.078,64.03
193,63.882,56.892,56.452,64.142
194,64.239,57.182,56.982,63.619
195,63.886,57.142,56.645,63.918
196,64.082,57.039,57.001,63.914
197,63.968,56.822,56.89,63.92
198,63.861,56.659,56.652,63.978
199,63.934,56.709,56.968,63.932
200,64.17,56.89,57.093,64.079
